timestamp,latitude,longitude,altitude,fix_quality,num_satellites,hdop,UTM_X,UTM_Y
00:49:39.300000+00:00,42.325387973333335,-71.09453114333333,53.223,2,12,0.6,327418.78221482004,4688029.243297629
00:49:39.400000+00:00,42.325387936666665,-71.09453109,53.212,2,12,0.6,327418.7865091982,4688029.239117858
00:49:39.600000+00:00,42.325388118333336,-71.094531025,53.172,2,12,0.6,327418.7923619456,4688029.259158631
00:49:39.800000+00:00,42.3253882,-71.094531035,53.184,2,12,0.6,327418.7917612695,4688029.268247371
00:49:40+00:00,42.32538831833333,-71.09453095833334,53.188,2,12,0.6,327418.798402154,4688029.281231795
00:49:40.200000+00:00,42.325388288333336,-71.094531025,53.211,2,12,0.6,327418.79282681446,4688029.278035809
00:49:40.300000+00:00,42.32538825333334,-71.09453100666667,53.199,2,12,0.6,327418.79424176493,4688029.2741121305
00:49:40.500000+00:00,42.32538823666667,-71.09453100333333,53.19,2,12,0.6,327418.7944708561,4688029.272254663
00:49:40.700000+00:00,42.325388153333336,-71.09453095333333,53.166,5,12,0.6,327418.7983629587,4688029.262899686
00:49:40.900000+00:00,42.325388143333335,-71.09453086666667,53.148,5,12,0.6,327418.8054769104,4688029.261613402
00:49:41.100000+00:00,42.325388028333336,-71.09453103166666,53.137,5,12,0.57,327418.7915665076,4688029.249178359
00:49:41.300000+00:00,42.325388385,-71.09453208166667,53.156,5,12,0.57,327418.70602224977,4688029.290914046
00:49:41.500000+00:00,42.325389613333336,-71.09453326,53.162,5,12,0.59,327418.6122869727,4688029.429701944
00:49:41.700000+00:00,42.325391565,-71.09453456666667,53.181,5,12,0.57,327418.50995506364,4688029.649070791
00:49:41.900000+00:00,42.3253932,-71.09453559666666,53.101,5,12,0.57,327418.42955444264,4688029.832714863
00:49:42+00:00,42.32539371666667,-71.09453612333333,53.09,5,12,0.57,327418.3875701696,4688029.891155374
00:49:42.200000+00:00,42.325394815,-71.094537845,53.032,5,12,0.59,327418.24870897783,4688030.016610308
00:49:42.400000+00:00,42.325395715,-71.09453951833333,53.056,5,12,0.59,327418.1132880906,4688030.119943792
00:49:42.600000+00:00,42.32539676166667,-71.09454076166666,53.041,5,12,0.59,327418.01370009227,4688030.238690927
00:49:42.800000+00:00,42.32539842833334,-71.09454240833334,53.086,5,12,0.59,327417.8825730136,4688030.427102673
00:49:43+00:00,42.32539923666667,-71.09454380166666,53.129,5,12,0.59,327417.76997335546,4688030.519689125
00:49:43.200000+00:00,42.32540003,-71.09454528,53.106,5,12,0.59,327417.6503287167,4688030.610782426
00:49:43.400000+00:00,42.32540094833333,-71.09454739666667,53.137,5,12,0.59,327417.4784275042,4688030.717051305
00:49:43.600000+00:00,42.32540181,-71.09454896666666,53.14,5,12,0.61,327417.35141643917,4688030.815918506
00:49:43.800000+00:00,42.32540277833333,-71.09455092833333,53.073,5,12,0.63,327417.1924238999,4688030.927424977
00:49:44+00:00,42.32540400833334,-71.09455305833333,53.118,5,12,0.59,327417.0202763089,4688031.068329081
00:49:44.200000+00:00,42.32540456833333,-71.094554745,53.098,5,12,0.63,327416.8828270497,4688031.133935293
00:49:44.400000+00:00,42.32540534166667,-71.09455673666666,53.048,5,12,0.63,327416.72082929837,4688031.2238494195
00:49:44.600000+00:00,42.325406435,-71.09455943,53.123,5,12,0.63,327416.50188957783,4688031.350720881
00:49:44.700000+00:00,42.325406863333335,-71.09456040666667,53.122,5,12,0.66,327416.42258397094,4688031.400265813
00:49:44.800000+00:00,42.32540754833333,-71.09456129,53.124,5,12,0.63,327416.35167086404,4688031.4781221915
00:49:45+00:00,42.32540892666667,-71.094563715,53.118,5,12,0.6,327416.1556210582,4688031.636096193
00:49:45.200000+00:00,42.32540994166666,-71.094565685,53.178,5,12,0.6,327415.9960695042,4688031.752801574
00:49:45.400000+00:00,42.325411095,-71.09456773166667,53.133,5,12,0.6,327415.8305789365,4688031.88502337
00:49:45.600000+00:00,42.32541230666666,-71.09457029333333,53.107,5,12,0.62,327415.62281212327,4688032.024767675
00:49:45.800000+00:00,42.32541335166667,-71.09457266166666,53.124,5,12,0.62,327415.4305201336,4688032.145612639
00:49:46+00:00,42.32541454166667,-71.09457515833333,53.112,5,12,0.62,327415.2280500538,4688032.2828191435
00:49:46.200000+00:00,42.325416231666665,-71.09457739833333,53.175,5,12,0.62,327415.04809649335,4688032.475025931
00:49:46.400000+00:00,42.32541737666666,-71.094579765,53.168,5,12,0.62,327414.8562153145,4688032.606971747
00:49:46.500000+00:00,42.32541801166666,-71.09458077666666,53.13,5,12,0.62,327414.7745908997,4688032.679536449
00:49:46.600000+00:00,42.325418471666666,-71.09458217,53.11,5,12,0.62,327414.6610387671,4688032.733443249
00:49:46.800000+00:00,42.32541963833334,-71.094584585,53.166,5,12,0.62,327414.46523420874,4688032.867893073
00:49:47+00:00,42.32542091333333,-71.09458686,53.129,5,12,0.59,327414.2812618428,4688033.014088383
00:49:47.200000+00:00,42.32542223,-71.09458920166666,53.124,5,12,0.59,327414.09191012324,4688033.16504574
00:49:47.400000+00:00,42.325423361666665,-71.09459103166667,53.134,5,12,0.59,327413.9442136134,4688033.2944220025
00:49:47.500000+00:00,42.325423825,-71.09459215333334,53.101,5,12,0.59,327413.85305582214,4688033.348147681
00:49:47.600000+00:00,42.32542437833333,-71.09459354166667,53.086,5,12,0.59,327413.74017093546,4688033.412408291
00:49:47.800000+00:00,42.32542572,-71.09459619333333,53.091,5,12,0.59,327413.5253437461,4688033.566770781
