timestamp,latitude,longitude,altitude,fix_quality,num_satellites,hdop,UTM_X,UTM_Y
04:25:01.400000+00:00,42.32676535833333,-71.09576115333333,37.245,5,12,0.76,327321.1986443141,4688184.6878422955
04:25:01.500000+00:00,42.32676531833334,-71.09576105833334,37.254,5,12,0.76,327321.20636265783,4688184.68320772
04:25:01.600000+00:00,42.32676530333333,-71.09576097833333,37.263,5,12,0.76,327321.21291343926,4688184.681379656
04:25:01.700000+00:00,42.326765298333335,-71.09576091333334,37.267,5,12,0.76,327321.2182556154,4688184.680692472
04:25:01.800000+00:00,42.32676525666667,-71.09576081,37.277,5,12,0.76,327321.226656045,4688184.675855905
04:25:01.900000+00:00,42.32676524166666,-71.09576077166666,37.282,5,12,0.76,327321.2297735829,4688184.67411244
04:25:02+00:00,42.326765216666665,-71.095760665,37.29,5,12,0.76,327321.2384942786,4688184.67111981
04:25:02.100000+00:00,42.32676520666666,-71.09576062,37.295,5,12,0.76,327321.24217481655,4688184.669918022
04:25:02.200000+00:00,42.32676518833333,-71.095760565,37.3,5,12,0.76,327321.24665653036,4688184.667770577
04:25:02.300000+00:00,42.32676514333333,-71.09576051,37.307,5,12,0.76,327321.25106528087,4688184.662662005
04:25:02.400000+00:00,42.32676516,-71.09576046666666,37.309,5,12,0.76,327321.25468145707,4688184.664424726
04:25:02.500000+00:00,42.326765126666665,-71.095760365,37.321,5,12,0.76,327321.2629673592,4688184.660516897
04:25:02.600000+00:00,42.32676509666667,-71.09576028,37.327,5,12,0.76,327321.2698890854,4688184.657013049
04:25:02.700000+00:00,42.32676506166667,-71.095760175,37.338,5,12,0.76,327321.2784450877,4688184.652913382
04:25:02.800000+00:00,42.326765045,-71.095760115,37.342,5,12,0.76,327321.2833433518,4688184.650940854
04:25:02.900000+00:00,42.32676503,-71.09576005,37.349,5,12,0.76,327321.28865816584,4688184.649143246
04:25:03+00:00,42.326765001666665,-71.09575996666666,37.358,5,12,0.76,327321.2954471232,4688184.645827851
04:25:03.100000+00:00,42.326764995,-71.09575993166666,37.362,5,12,0.76,327321.2983128043,4688184.645016507
04:25:03.200000+00:00,42.32676495333333,-71.09575983,37.37,5,12,0.76,327321.30657590483,4688184.640183326
04:25:03.300000+00:00,42.32676497333333,-71.09575980333334,37.375,5,12,0.76,327321.30882790504,4688184.642350027
04:25:03.400000+00:00,42.32676492833333,-71.09575975,37.379,5,12,0.76,327321.3130993243,4688184.637244839
04:25:03.500000+00:00,42.32676491833333,-71.095759655,37.388,5,12,0.76,327321.32089975424,4688184.6359415315
04:25:03.600000+00:00,42.32676488833334,-71.095759585,37.393,5,12,0.76,327321.3265855131,4688184.632468139
04:25:03.700000+00:00,42.32676484,-71.09575946333334,37.401,5,12,0.76,327321.33647832734,4688184.626854069
04:25:03.800000+00:00,42.32676483666667,-71.095759395,37.41,5,12,0.76,327321.34209972445,4688184.626345186
04:25:03.900000+00:00,42.32676481,-71.09575933333333,37.416,5,12,0.76,327321.3471079557,4688184.623258853
04:25:04+00:00,42.32676480666667,-71.0957593,37.422,5,12,0.76,327321.34984542825,4688184.622821033
04:25:04.100000+00:00,42.326764796666666,-71.09575921333334,37.429,5,12,0.76,327321.35695920774,4688184.621534646
04:25:04.200000+00:00,42.326764743333335,-71.09575914833333,37.436,5,12,0.76,327321.3621691364,4688184.615480418
04:25:04.300000+00:00,42.32676474666667,-71.09575911,37.437,5,12,0.76,327321.365336838,4688184.615772728
04:25:04.400000+00:00,42.32676473666667,-71.09575905833333,37.445,5,12,0.76,327321.36956669716,4688184.614557403
04:25:04.500000+00:00,42.32676468,-71.09575896166666,37.449,5,12,0.76,327321.377376767,4688184.608068739
04:25:04.600000+00:00,42.32676467666667,-71.09575890833334,37.453,5,12,0.76,327321.3817621947,4688184.607590314
04:25:04.700000+00:00,42.32676464333333,-71.09575881833334,37.461,5,12,0.76,327321.38908678794,4688184.60370617
04:25:04.800000+00:00,42.326764628333336,-71.095758765,37.466,5,12,0.76,327321.3934402955,4688184.601932251
04:25:04.900000+00:00,42.32676459,-71.09575868333333,37.47,5,12,0.76,327321.4000645616,4688184.597509817
04:25:05+00:00,42.32676459666666,-71.09575865,37.476,5,12,0.76,327321.40282939613,4688184.598182419
04:25:05.100000+00:00,42.32676456666667,-71.09575858166667,37.481,5,12,0.76,327321.40837782586,4688184.594712411
04:25:05.200000+00:00,42.32676455,-71.095758545,37.482,5,12,0.76,327321.4113534763,4688184.592787259
04:25:05.300000+00:00,42.326764535,-71.09575846,37.491,5,12,0.76,327321.41831624566,4688184.590949045
04:25:05.400000+00:00,42.32676450833333,-71.09575842,37.496,5,12,0.76,327321.4215391926,4688184.587906703
04:25:05.500000+00:00,42.32676449,-71.09575835166666,37.499,5,12,0.76,327321.42711954465,4688184.585732187
04:25:05.600000+00:00,42.326764448333336,-71.095758245,37.506,5,12,0.76,327321.4357946351,4688184.580888855
04:25:05.700000+00:00,42.326764425,-71.09575818,37.512,5,12,0.76,327321.4410866477,4688184.578165894
04:25:05.800000+00:00,42.326764413333336,-71.09575813833334,37.517,5,12,0.76,327321.44448796485,4688184.576785804
04:25:05.900000+00:00,42.326764395,-71.09575805666667,37.524,5,12,0.76,327321.451166955,4688184.574584215
04:25:06+00:00,42.32676438666667,-71.09575803333334,37.524,5,12,0.76,327321.45306676906,4688184.573611488
04:25:06.100000+00:00,42.32676435166667,-71.09575793666667,37.532,5,12,0.76,327321.4609361233,4688184.569528739
04:25:06.200000+00:00,42.326764358333335,-71.09575793166667,37.535,5,12,0.76,327321.4613663545,4688184.57025887
